algorithm_variant,algorithm,family,stream_mode,alpha,final_f1_star,num_runs,config_epsilon,config_delta,config_target_logical_size,avg_norm_abs_error,avg_relative_error,avg_memory_usage_bytes,avg_logical_size,avg_hh_f1
count_min__L_1200,count_min,uniform,non-interleaved,4.0,50000,1,,0.01,1200,0.0038299040816326528,168.00204889455782,15288.0,1200.0,0.0
count_min__L_1200,count_min,uniform,non-interleaved,4.0,100000,1,,0.01,1200,0.003919986903353058,301.46409525061836,46776.0,1200.0,0.0
count_min__L_1200,count_min,uniform,non-interleaved,4.0,200000,1,,0.01,1200,0.00398745438261975,460.4596328442203,46704.0,1200.0,0.0
count_min__L_1200,count_min,uniform,non-interleaved,4.0,500000,1,,0.01,1200,0.004048805301267913,522.2895416636796,46704.0,1200.0,0.01
count_min__L_1200,count_min,uniform,non-interleaved,6.0,50000,1,,0.01,1200,0.003821011184544992,167.90193907812235,15456.0,1200.0,0.01
count_min__L_1200,count_min,uniform,non-interleaved,6.0,100000,1,,0.01,1200,0.0039128178297636925,300.527538641316,46744.0,1200.0,0.0
count_min__L_1200,count_min,uniform,non-interleaved,6.0,200000,1,,0.01,1200,0.0039894211116505976,459.5658940852922,46704.0,1200.0,0.0
count_min__L_1200,count_min,uniform,non-interleaved,6.0,500000,1,,0.01,1200,0.004050857404703158,521.4955728651803,46704.0,1200.0,0.02
count_min__L_1200,count_min,uniform,non-interleaved,8.0,50000,1,,0.01,1200,0.003812106450386516,167.72628751259722,15400.0,1200.0,0.01
count_min__L_1200,count_min,uniform,non-interleaved,8.0,100000,1,,0.01,1200,0.003915720273305286,300.3159841189505,46712.0,1200.0,0.0
count_min__L_1200,count_min,uniform,non-interleaved,8.0,200000,1,,0.01,1200,0.00397860030987316,458.9513943612308,46704.0,1200.0,0.0
count_min__L_1200,count_min,uniform,non-interleaved,8.0,500000,1,,0.01,1200,0.004044916221356761,521.8804443200789,46704.0,1200.0,0.01
count_min__L_1200,count_min,zipf,non-interleaved,1.5,50000,1,,0.01,1200,0.0008743434637196451,35.038854554348944,22428.0,1200.0,0.7100000000000001
count_min__L_1200,count_min,zipf,non-interleaved,1.5,100000,1,,0.01,1200,0.0008800479020668855,69.23251799194001,26880.0,1200.0,0.67
count_min__L_1200,count_min,zipf,non-interleaved,1.5,200000,1,,0.01,1200,0.0008829489948496428,134.7524141176892,38052.0,1200.0,0.65
count_min__L_1200,count_min,zipf,non-interleaved,1.5,500000,1,,0.01,1200,0.0008891164658634538,319.53797927557304,46704.0,1200.0,0.59
count_min__L_1200,count_min,zipf,non-interleaved,2.0,50000,1,,0.01,1200,0.0008701456452082727,34.71367364393215,22400.0,1200.0,0.69
count_min__L_1200,count_min,zipf,non-interleaved,2.0,100000,1,,0.01,1200,0.0008769290014164306,69.26231281344599,26740.0,1200.0,0.68
count_min__L_1200,count_min,zipf,non-interleaved,2.0,200000,1,,0.01,1200,0.0008826244482932008,134.46561506575588,38136.0,1200.0,0.63
count_min__L_1200,count_min,zipf,non-interleaved,2.0,500000,1,,0.01,1200,0.0008872206549118388,318.57358667301276,46704.0,1200.0,0.62
count_min__L_1200,count_min,zipf,non-interleaved,3.0,50000,1,,0.01,1200,0.0008763147295742232,35.12752453587132,22232.0,1200.0,0.7100000000000001
count_min__L_1200,count_min,zipf,non-interleaved,3.0,100000,1,,0.01,1200,0.0008722456016267351,68.87294234545841,26852.0,1200.0,0.7100000000000001
count_min__L_1200,count_min,zipf,non-interleaved,3.0,200000,1,,0.01,1200,0.0008853449612403102,135.56646870339785,37520.0,1200.0,0.66
count_min__L_1200,count_min,zipf,non-interleaved,3.0,500000,1,,0.01,1200,0.0008889034805129177,318.49512145941463,46704.0,1200.0,0.6
count_min__L_1200,count_min,zipf,non-interleaved,4.0,50000,1,,0.01,1200,0.0008760621912234815,35.04761513467851,22204.0,1200.0,0.67
count_min__L_1200,count_min,zipf,non-interleaved,4.0,100000,1,,0.01,1200,0.0008757593097983977,69.0252146196539,26600.0,1200.0,0.7
count_min__L_1200,count_min,zipf,non-interleaved,4.0,200000,1,,0.01,1200,0.0008773104238899452,133.89805797760633,37604.0,1200.0,0.65
count_min__L_1200,count_min,zipf,non-interleaved,4.0,500000,1,,0.01,1200,0.0008839859671302149,316.56979672623953,46704.0,1200.0,0.62
count_min__L_1200,count_min,zipf,non-interleaved,6.0,50000,1,,0.01,1200,0.0008710527080005808,34.75615860334299,22232.0,1200.0,0.72
count_min__L_1200,count_min,zipf,non-interleaved,6.0,100000,1,,0.01,1200,0.0008803780584753998,69.54949669272979,26712.0,1200.0,0.67
count_min__L_1200,count_min,zipf,non-interleaved,6.0,200000,1,,0.01,1200,0.0008838821466347492,134.88238543983215,37604.0,1200.0,0.65
count_min__L_1200,count_min,zipf,non-interleaved,6.0,500000,1,,0.01,1200,0.0008862808690709278,318.34241225477103,46704.0,1200.0,0.62
count_min__L_1200,count_min,zipf,non-interleaved,8.0,50000,1,,0.01,1200,0.000879615165336374,35.334036165565806,22260.0,1200.0,0.68
count_min__L_1200,count_min,zipf,non-interleaved,8.0,100000,1,,0.01,1200,0.0008764533804684048,69.24264455967045,26740.0,1200.0,0.7100000000000001
