algorithm,family,stream_mode,alpha,final_f1_star,num_runs,avg_norm_abs_error,avg_relative_error,avg_memory_usage_bytes,avg_logical_size,avg_hh_f1
count_min,zipf,non-interleaved,1.5,50000,1,0.0008259037370946633,33.46392289181809,23784.0,1360.0,0.8399999999999999
count_min,zipf,non-interleaved,1.5,100000,1,0.0008445001330612969,67.05000310367662,28152.0,1360.0,0.87
count_min,zipf,non-interleaved,1.5,200000,1,0.0008583205958907903,132.0847340682741,37364.0,1360.0,0.81
count_min,zipf,non-interleaved,1.5,500000,1,0.0008650417921686747,312.09858484462177,52708.0,1360.0,0.7100000000000001
count_min,zipf,non-interleaved,2.0,50000,1,0.0008205884066414214,33.147437062216255,23924.0,1360.0,0.8399999999999999
count_min,zipf,non-interleaved,2.0,100000,1,0.0008402044971671388,66.83281491307886,28012.0,1360.0,0.83
count_min,zipf,non-interleaved,2.0,200000,1,0.0008583627576959607,131.7946414813309,37196.0,1360.0,0.79
count_min,zipf,non-interleaved,2.0,500000,1,0.0008641968513853904,311.40084174890075,52736.0,1360.0,0.7100000000000001
count_min,zipf,non-interleaved,3.0,50000,1,0.0008412140391254315,34.177183395892015,23812.0,1360.0,0.83
count_min,zipf,non-interleaved,3.0,100000,1,0.0008417248695959684,67.0369845504787,27872.0,1360.0,0.83
count_min,zipf,non-interleaved,3.0,200000,1,0.000858546788482835,132.457113442716,37028.0,1360.0,0.8000000000000002
count_min,zipf,non-interleaved,3.0,500000,1,0.0008672570905186028,311.7178369471049,52652.0,1360.0,0.7100000000000001
count_min,zipf,non-interleaved,4.0,50000,1,0.0008279337401918048,33.501108093223465,23756.0,1360.0,0.8399999999999999
count_min,zipf,non-interleaved,4.0,100000,1,0.0008469372303899992,67.40535746250816,28068.0,1360.0,0.82
count_min,zipf,non-interleaved,4.0,200000,1,0.0008499124818252993,130.59311243591938,36944.0,1360.0,0.8000000000000002
count_min,zipf,non-interleaved,4.0,500000,1,0.0008617250948166877,310.17737891070794,52764.0,1360.0,0.7
count_min,zipf,non-interleaved,6.0,50000,1,0.000827933788296791,33.571847405165286,23812.0,1360.0,0.87
count_min,zipf,non-interleaved,6.0,100000,1,0.0008451991873509408,67.35181431148109,27956.0,1360.0,0.83
count_min,zipf,non-interleaved,6.0,200000,1,0.0008564296052997829,131.66507822033444,37084.0,1360.0,0.81
count_min,zipf,non-interleaved,6.0,500000,1,0.0008604248089433462,310.36842681721885,52764.0,1360.0,0.72
count_min,zipf,non-interleaved,8.0,50000,1,0.0008339652223489167,33.92931688807669,23924.0,1360.0,0.82
count_min,zipf,non-interleaved,8.0,100000,1,0.0008427264692885551,67.18535530788736,28012.0,1360.0,0.8399999999999999
count_min,zipf,non-interleaved,8.0,200000,1,0.0008515430007340899,130.09661479499,37252.0,1360.0,0.81
count_min,zipf,non-interleaved,8.0,500000,1,0.0008653837015619598,312.18405343959665,52708.0,1360.0,0.69
count_sketch,kosarak,non-interleaved,1.5,50000,1,1.387140565222757e-06,0.04493229627135472,535460.0,50000.0,1.0
count_sketch,kosarak,non-interleaved,1.5,100000,1,2.5277752272518595e-06,0.15283557939352033,610188.0,50000.0,0.99
count_sketch,kosarak,non-interleaved,1.5,200000,1,4.099313438923255e-06,0.4905594968059532,703200.0,50000.0,0.99
count_sketch,kosarak,non-interleaved,1.5,500000,1,5.330641985033478e-06,1.5321894807853325,853812.0,50000.0,0.99
count_sketch,kosarak,non-interleaved,2.0,50000,1,1.7069282648681793e-06,0.05657186741354722,536124.0,50000.0,1.0
count_sketch,kosarak,non-interleaved,2.0,100000,1,3.0393559928443653e-06,0.19134913076837207,609716.0,50000.0,1.0
count_sketch,kosarak,non-interleaved,2.0,200000,1,4.058952263712215e-06,0.47946014262063763,703848.0,50000.0,0.99
count_sketch,kosarak,non-interleaved,2.0,500000,1,5.486916164708206e-06,1.581360610866679,854532.0,50000.0,1.0
count_sketch,kosarak,non-interleaved,3.0,50000,1,1.7500622354991289e-06,0.05668474988568563,534912.0,50000.0,0.99
count_sketch,kosarak,non-interleaved,3.0,100000,1,3.2942672844553466e-06,0.20827793493706598,608992.0,50000.0,1.0
count_sketch,kosarak,non-interleaved,3.0,200000,1,4.259170544757733e-06,0.5180468929944876,700688.0,50000.0,1.0
count_sketch,kosarak,non-interleaved,3.0,500000,1,5.5933320220298975e-06,1.6133168615971423,854384.0,50000.0,0.99
count_sketch,kosarak,non-interleaved,4.0,50000,1,1.9291635267520722e-06,0.0646457045462812,536248.0,50000.0,0.99
count_sketch,kosarak,non-interleaved,4.0,100000,1,3.2536059886799347e-06,0.20727335052268328,606252.0,50000.0,0.99
count_sketch,kosarak,non-interleaved,4.0,200000,1,4.461302420729628e-06,0.5609031133395984,699964.0,50000.0,0.99
count_sketch,kosarak,non-interleaved,4.0,500000,1,5.993446529639559e-06,1.8258878006478083,854264.0,50000.0,0.99
count_sketch,kosarak,non-interleaved,6.0,50000,1,2.310747083643584e-06,0.07623962759372147,534700.0,50000.0,1.0
count_sketch,kosarak,non-interleaved,6.0,100000,1,3.5215615070358605e-06,0.22363415748799545,609084.0,50000.0,1.0
count_sketch,kosarak,non-interleaved,6.0,200000,1,4.677352350619678e-06,0.5893621437105228,705540.0,50000.0,0.99
count_sketch,kosarak,non-interleaved,6.0,500000,1,6.395396872233697e-06,1.989536236116148,855348.0,50000.0,1.0
count_sketch,kosarak,non-interleaved,8.0,50000,1,2.18052738336714e-06,0.07334466044668483,533012.0,50000.0,0.99
count_sketch,kosarak,non-interleaved,8.0,100000,1,3.676752902459092e-06,0.24531817373772263,604636.0,50000.0,1.0
count_sketch,kosarak,non-interleaved,8.0,200000,1,4.725530458590007e-06,0.5878757405911498,710236.0,50000.0,0.98
count_sketch,kosarak,non-interleaved,8.0,500000,1,6.5696642979661854e-06,2.02385737156334,854976.0,50000.0,1.0
count_sketch,uniform,non-interleaved,1.5,50000,1,2.2202669902912624e-05,0.9780487290992449,498864.0,50000.0,0.17
count_sketch,uniform,non-interleaved,1.5,100000,1,1.8392299770260636e-05,1.408997898771328,642640.0,50000.0,0.08
count_sketch,uniform,non-interleaved,1.5,200000,1,1.5201818854145002e-05,1.7521905781733835,782804.0,50000.0,0.09
count_sketch,uniform,non-interleaved,1.5,500000,1,1.263461770745259e-05,1.6294749126222094,941900.0,50000.0,0.0
count_sketch,uniform,non-interleaved,2.0,50000,1,2.238501370697533e-05,0.9853690730023352,499164.0,50000.0,0.18
count_sketch,uniform,non-interleaved,2.0,100000,1,1.8401671785454202e-05,1.4116219093152886,643512.0,50000.0,0.10000000000000002
count_sketch,uniform,non-interleaved,2.0,200000,1,1.5346195205994244e-05,1.7716671906709256,783648.0,50000.0,0.07
count_sketch,uniform,non-interleaved,2.0,500000,1,1.2628395446905727e-05,1.623792662344627,940268.0,50000.0,0.02
count_sketch,uniform,non-interleaved,3.0,50000,1,2.239309712889432e-05,0.9812389703386953,500360.0,50000.0,0.15
count_sketch,uniform,non-interleaved,3.0,100000,1,1.8336078555590752e-05,1.4054682338567357,642256.0,50000.0,0.09
count_sketch,uniform,non-interleaved,3.0,200000,1,1.529877801586842e-05,1.7654370400678385,782392.0,50000.0,0.03
count_sketch,uniform,non-interleaved,3.0,500000,1,1.2672571894470896e-05,1.6381650292041396,941772.0,50000.0,0.01
count_sketch,uniform,non-interleaved,4.0,50000,1,2.2477040816326534e-05,0.9873928571428572,499680.0,50000.0,0.15
count_sketch,uniform,non-interleaved,4.0,100000,1,1.8301538461538463e-05,1.4046805923421308,642960.0,50000.0,0.04
count_sketch,uniform,non-interleaved,4.0,200000,1,1.5191194314439245e-05,1.7530283003207254,782648.0,50000.0,0.08
count_sketch,uniform,non-interleaved,4.0,500000,1,1.2654440718249292e-05,1.6316760333392033,942884.0,50000.0,0.0
count_sketch,uniform,non-interleaved,6.0,50000,1,2.2366039654295885e-05,0.9832185222843586,499084.0,50000.0,0.16
count_sketch,uniform,non-interleaved,6.0,100000,1,1.8452224768829528e-05,1.4160593949110505,644784.0,50000.0,0.07
count_sketch,uniform,non-interleaved,6.0,200000,1,1.515207740861483e-05,1.7419126155713172,780636.0,50000.0,0.04
count_sketch,uniform,non-interleaved,6.0,500000,1,1.2655199154035955e-05,1.624268479278032,941560.0,50000.0,0.02
count_sketch,uniform,non-interleaved,8.0,50000,1,2.229324546952224e-05,0.9811663076078232,497452.0,50000.0,0.14
count_sketch,uniform,non-interleaved,8.0,100000,1,1.832331635719483e-05,1.406252193567143,641316.0,50000.0,0.09
count_sketch,uniform,non-interleaved,8.0,200000,1,1.5295824806040214e-05,1.7672064173963304,783232.0,50000.0,0.01
count_sketch,uniform,non-interleaved,8.0,500000,1,1.2595980637824672e-05,1.6286649486181843,940292.0,50000.0,0.0
count_sketch,zipf,non-interleaved,1.5,50000,1,2.620328631670787e-06,0.11660279331639065,472448.0,50000.0,1.0
count_sketch,zipf,non-interleaved,1.5,100000,1,3.6840237736183806e-06,0.3160843372727301,508288.0,50000.0,1.0
count_sketch,zipf,non-interleaved,1.5,200000,1,4.295287146259068e-06,0.7152395585372548,571176.0,50000.0,1.0
count_sketch,zipf,non-interleaved,1.5,500000,1,4.479166666666667e-06,1.7906032478920415,728116.0,50000.0,1.0
count_sketch,zipf,non-interleaved,2.0,50000,1,2.4584911156422957e-06,0.10713399316191326,472000.0,50000.0,1.0
count_sketch,zipf,non-interleaved,2.0,100000,1,3.6703257790368276e-06,0.3158164732843167,507476.0,50000.0,1.0
count_sketch,zipf,non-interleaved,2.0,200000,1,4.201352030839712e-06,0.6964075467515469,572744.0,50000.0,1.0
count_sketch,zipf,non-interleaved,2.0,500000,1,4.481675062972292e-06,1.7823575628033683,725960.0,50000.0,1.0
count_sketch,zipf,non-interleaved,3.0,50000,1,2.448216340621404e-06,0.10882631048937139,473064.0,50000.0,1.0
count_sketch,zipf,non-interleaved,3.0,100000,1,3.6177172663778625e-06,0.31232394827941434,506272.0,50000.0,0.99
count_sketch,zipf,non-interleaved,3.0,200000,1,4.204318936877077e-06,0.7024610383041324,571736.0,50000.0,1.0
count_sketch,zipf,non-interleaved,3.0,500000,1,4.4890404901775e-06,1.782229848236852,729936.0,50000.0,1.0
count_sketch,zipf,non-interleaved,4.0,50000,1,2.682359779133973e-06,0.11808332446907194,473316.0,50000.0,0.99
count_sketch,zipf,non-interleaved,4.0,100000,1,3.7080728937406464e-06,0.317480549779936,507168.0,50000.0,0.99
count_sketch,zipf,non-interleaved,4.0,200000,1,4.110837713902248e-06,0.6800259500708052,568796.0,50000.0,1.0
count_sketch,zipf,non-interleaved,4.0,500000,1,4.428318584070796e-06,1.7594125311274293,726772.0,50000.0,1.0
count_sketch,zipf,non-interleaved,6.0,50000,1,2.599099753158124e-06,0.1141532519269617,472420.0,50000.0,1.0
count_sketch,zipf,non-interleaved,6.0,100000,1,3.6701704796396083e-06,0.31521691608458713,506916.0,50000.0,0.98
count_sketch,zipf,non-interleaved,6.0,200000,1,4.211991315481824e-06,0.70363774936659,572548.0,50000.0,1.0
count_sketch,zipf,non-interleaved,6.0,500000,1,4.478746920987811e-06,1.782225865012787,726128.0,50000.0,0.99
count_sketch,zipf,non-interleaved,8.0,50000,1,2.6596351197263404e-06,0.11854977740136735,473232.0,50000.0,0.99
count_sketch,zipf,non-interleaved,8.0,100000,1,3.5457357490057448e-06,0.3060918796615411,506580.0,50000.0,1.0
count_sketch,zipf,non-interleaved,8.0,200000,1,4.07758766728782e-06,0.6759147478998051,572072.0,50000.0,1.0
count_sketch,zipf,non-interleaved,8.0,500000,1,4.4726735598227475e-06,1.7788535976595317,727640.0,50000.0,1.0
double_mg,kosarak,non-interleaved,1.5,50000,1,9.782302850796002e-05,0.9971304373087267,17968.0,298.0,0.31
double_mg,kosarak,non-interleaved,1.5,100000,1,7.317234413736111e-05,0.9993898446421751,14396.0,298.0,0.14
double_mg,kosarak,non-interleaved,1.5,200000,1,5.372442390048264e-05,0.9989154785500665,15164.0,298.0,0.29
double_mg,kosarak,non-interleaved,1.5,500000,1,3.888243402914533e-05,0.9995870930507457,13172.0,298.0,0.29
double_mg,kosarak,non-interleaved,2.0,50000,1,9.492090741876149e-05,0.9939589085439093,46616.0,398.0,0.28
double_mg,kosarak,non-interleaved,2.0,100000,1,6.94293381037567e-05,0.9981482379100076,47800.0,398.0,0.33
double_mg,kosarak,non-interleaved,2.0,200000,1,5.2771166735056765e-05,0.9985807596548999,36056.0,398.0,0.24
double_mg,kosarak,non-interleaved,2.0,500000,1,3.808156413547941e-05,0.9993540873070077,45768.0,398.0,0.31
double_mg,kosarak,non-interleaved,3.0,50000,1,9.312920089619118e-05,0.9953856397748007,26988.0,598.0,0.41
double_mg,kosarak,non-interleaved,3.0,100000,1,6.774870536931044e-05,0.997668210671456,28700.0,598.0,0.41999999999999993
double_mg,kosarak,non-interleaved,3.0,200000,1,5.075999178757186e-05,0.9990160165607304,28292.0,598.0,0.47
double_mg,kosarak,non-interleaved,3.0,500000,1,3.65926435877262e-05,0.9987416055385414,34176.0,598.0,0.4000000000000001
double_mg,kosarak,non-interleaved,4.0,50000,1,9.076111529766391e-05,0.9876823741593755,95156.0,798.0,0.41999999999999993
double_mg,kosarak,non-interleaved,4.0,100000,1,6.597316048931898e-05,0.9981997631952549,82864.0,798.0,0.49
double_mg,kosarak,non-interleaved,4.0,200000,1,4.906068871462666e-05,0.996852950907824,90128.0,798.0,0.49
double_mg,kosarak,non-interleaved,4.0,500000,1,3.5830801310694076e-05,0.9988414990495192,89828.0,798.0,0.41999999999999993
double_mg,kosarak,non-interleaved,6.0,50000,1,8.656242243732937e-05,0.9895778766838197,61796.0,1198.0,0.61
double_mg,kosarak,non-interleaved,6.0,100000,1,6.247843849296414e-05,0.9915646002456974,58488.0,1198.0,0.7
double_mg,kosarak,non-interleaved,6.0,200000,1,4.787821089801288e-05,0.9973635701194031,53208.0,1198.0,0.69
double_mg,kosarak,non-interleaved,6.0,500000,1,3.412117635487361e-05,0.9981158232334558,58344.0,1198.0,0.7100000000000001
double_mg,kosarak,non-interleaved,8.0,50000,1,8.379310344827587e-05,0.9921504767712189,79192.0,1598.0,0.89
double_mg,kosarak,non-interleaved,8.0,100000,1,6.023311088764969e-05,0.9881031978635876,152680.0,1598.0,0.91
double_mg,kosarak,non-interleaved,8.0,200000,1,4.58305954825462e-05,0.9966382773087581,134800.0,1598.0,0.89
double_mg,kosarak,non-interleaved,8.0,500000,1,3.295917667238422e-05,0.996846077282515,109384.0,1598.0,0.92
double_mg,uniform,non-interleaved,1.5,50000,1,2.5238673139158578e-05,0.9981922532362459,11876.0,298.0,0.01
double_mg,uniform,non-interleaved,1.5,100000,1,1.5836964271567774e-05,0.9995207161530539,12420.0,298.0,0.02
double_mg,uniform,non-interleaved,1.5,200000,1,1.1550070489264832e-05,0.9994379843041702,12180.0,298.0,0.0
double_mg,uniform,non-interleaved,1.5,500000,1,1.0063634899545034e-05,0.9998133334390733,11940.0,298.0,0.0
double_mg,uniform,non-interleaved,2.0,50000,1,2.5302061122956647e-05,0.9968080515788404,24924.0,398.0,0.01
double_mg,uniform,non-interleaved,2.0,100000,1,1.5802805306652315e-05,0.9981239907545199,25436.0,398.0,0.02
double_mg,uniform,non-interleaved,2.0,200000,1,1.1562966132072199e-05,1.0,25196.0,398.0,0.01
double_mg,uniform,non-interleaved,2.0,500000,1,1.006030535119413e-05,0.9995617185009904,24972.0,398.0,0.0
double_mg,uniform,non-interleaved,3.0,50000,1,2.5416921197312156e-05,0.9985428120545714,23100.0,598.0,0.01
double_mg,uniform,non-interleaved,3.0,100000,1,1.58132720937599e-05,0.9982776369971492,23580.0,598.0,0.0
double_mg,uniform,non-interleaved,3.0,200000,1,1.1577517808536515e-05,0.9994878201468809,23340.0,598.0,0.0
double_mg,uniform,non-interleaved,3.0,500000,1,1.0063716065910395e-05,0.9997393967455972,23148.0,598.0,0.0
double_mg,uniform,non-interleaved,4.0,50000,1,2.5448469387755102e-05,0.9972950680272109,48924.0,798.0,0.02
double_mg,uniform,non-interleaved,4.0,100000,1,1.5779092702169626e-05,1.0,38144.0,798.0,0.01
double_mg,uniform,non-interleaved,4.0,200000,1,1.1535101404056163e-05,0.9980032668678881,49104.0,798.0,0.0
double_mg,uniform,non-interleaved,4.0,500000,1,1.006280149450638e-05,0.9990689615429034,60144.0,798.0,0.0
double_mg,uniform,non-interleaved,6.0,50000,1,2.5301982714794103e-05,0.9951766649720386,45252.0,1198.0,0.01
double_mg,uniform,non-interleaved,6.0,100000,1,1.578313443452146e-05,0.9983142337785506,45724.0,1198.0,0.02
double_mg,uniform,non-interleaved,6.0,200000,1,1.1540195602413818e-05,0.9978726613532746,45484.0,1198.0,0.0
double_mg,uniform,non-interleaved,6.0,500000,1,1.0063084747469662e-05,0.9990203318650118,45356.0,1198.0,0.01
double_mg,uniform,non-interleaved,8.0,50000,1,2.5300722341908505e-05,0.9980547459130655,96960.0,1598.0,0.0
double_mg,uniform,non-interleaved,8.0,100000,1,1.5771834371935596e-05,0.9966432585750589,97344.0,1598.0,0.0
double_mg,uniform,non-interleaved,8.0,200000,1,1.1520748783054102e-05,0.995511074148037,119392.0,1598.0,0.0
double_mg,uniform,non-interleaved,8.0,500000,1,1.0055530396803832e-05,0.9989884731038914,97036.0,1598.0,0.0
double_mg,zipf,non-interleaved,1.5,50000,1,7.222916969608841e-05,0.9955517787598709,14580.0,298.0,0.42999999999999994
double_mg,zipf,non-interleaved,1.5,100000,1,4.394571099086312e-05,0.9971845092252969,17052.0,298.0,0.49
double_mg,zipf,non-interleaved,1.5,200000,1,2.7508168577283048e-05,0.9979404500707099,17408.0,298.0,0.46
double_mg,zipf,non-interleaved,1.5,500000,1,1.5591239959839356e-05,0.9993748793273469,14804.0,298.0,0.37
double_mg,zipf,non-interleaved,2.0,50000,1,6.735799592193417e-05,0.9935174209254254,26080.0,398.0,0.52
double_mg,zipf,non-interleaved,2.0,100000,1,4.0684313031161476e-05,0.9969002037962496,29020.0,398.0,0.58
double_mg,zipf,non-interleaved,2.0,200000,1,2.5883289569249678e-05,0.9984641638031205,35428.0,398.0,0.49
double_mg,zipf,non-interleaved,2.0,500000,1,1.4580100755667506e-05,0.9991962851085179,25268.0,398.0,0.59
double_mg,zipf,non-interleaved,3.0,50000,1,6.012082853855006e-05,0.986816060304098,30476.0,598.0,0.72
double_mg,zipf,non-interleaved,3.0,100000,1,3.6770400495093275e-05,0.9953295802889804,27564.0,598.0,0.7
double_mg,zipf,non-interleaved,3.0,200000,1,2.3184108527131784e-05,0.9981488220597099,30560.0,598.0,0.7100000000000001
double_mg,zipf,non-interleaved,3.0,500000,1,1.3216789842713664e-05,0.9976967668524847,34284.0,598.0,0.69
double_mg,zipf,non-interleaved,4.0,50000,1,5.556524266201686e-05,0.9842261804739315,42064.0,798.0,0.87
double_mg,zipf,non-interleaved,4.0,100000,1,3.406461836429263e-05,0.9944676765423109,37948.0,798.0,0.85
double_mg,zipf,non-interleaved,4.0,200000,1,2.1605245498266414e-05,0.9970126807029492,53120.0,798.0,0.89
double_mg,zipf,non-interleaved,4.0,500000,1,1.2242730720606826e-05,0.9981844636990526,44724.0,798.0,0.89
double_mg,zipf,non-interleaved,6.0,50000,1,5.001306809931756e-05,0.9819692183239263,53988.0,1198.0,0.98
double_mg,zipf,non-interleaved,6.0,100000,1,3.083119865736243e-05,0.9900243694961813,60456.0,1198.0,0.98
double_mg,zipf,non-interleaved,6.0,200000,1,1.9338918888827035e-05,0.9950074445855869,51944.0,1198.0,1.0
double_mg,zipf,non-interleaved,6.0,500000,1,1.0955283269121455e-05,0.996972735328557,63704.0,1198.0,0.99
double_mg,zipf,non-interleaved,8.0,50000,1,4.6185860889395665e-05,0.9808681448763693,103636.0,1598.0,0.99
double_mg,zipf,non-interleaved,8.0,100000,1,2.8016791869200177e-05,0.9817798420404564,105316.0,1598.0,1.0
double_mg,zipf,non-interleaved,8.0,200000,1,1.8028121294257157e-05,0.9904246795118181,97700.0,1598.0,1.0
double_mg,zipf,non-interleaved,8.0,500000,1,1.011477419152079e-05,0.9957357908238018,91552.0,1598.0,1.0
double_ss,kosarak,non-interleaved,1.5,50000,1,0.005202009132420091,164.26511251910256,32020.0,300.0,0.31
double_ss,kosarak,non-interleaved,1.5,100000,1,0.005246763382609494,303.6392672669587,32628.0,300.0,0.14
double_ss,kosarak,non-interleaved,1.5,200000,1,0.005216266739174766,573.0495638077373,36056.0,300.0,0.29
double_ss,kosarak,non-interleaved,1.5,500000,1,0.0052271131350925554,1262.2682192551567,35792.0,300.0,0.29
double_ss,kosarak,non-interleaved,2.0,50000,1,0.0037849147762109136,120.32563425551596,54544.0,400.0,0.28
double_ss,kosarak,non-interleaved,2.0,100000,1,0.0038204221824686938,227.87271543550352,55092.0,400.0,0.33
double_ss,kosarak,non-interleaved,2.0,200000,1,0.0038072062645328956,415.66150319805695,59920.0,400.0,0.24
double_ss,kosarak,non-interleaved,2.0,500000,1,0.0038199047101807053,925.2702951654301,59744.0,400.0,0.31
double_ss,kosarak,non-interleaved,3.0,50000,1,0.002406806074184715,76.67155557489824,55516.0,600.0,0.41
double_ss,kosarak,non-interleaved,3.0,100000,1,0.00242222767329881,145.0202385780214,63564.0,600.0,0.41999999999999993
double_ss,kosarak,non-interleaved,3.0,200000,1,0.0024241934711196275,266.7977890043544,70828.0,600.0,0.47
double_ss,kosarak,non-interleaved,3.0,500000,1,0.002445387293469709,597.6528728096274,70712.0,600.0,0.4000000000000001
double_ss,kosarak,non-interleaved,4.0,50000,1,0.0017287189148455161,55.62710727155375,98156.0,800.0,0.41999999999999993
double_ss,kosarak,non-interleaved,4.0,100000,1,0.0017439729779076137,105.31423764306477,118856.0,800.0,0.49
double_ss,kosarak,non-interleaved,4.0,200000,1,0.0017509359018070237,194.83247388663224,118616.0,800.0,0.49
double_ss,kosarak,non-interleaved,4.0,500000,1,0.0017701381193525967,433.56976839707124,118588.0,800.0,0.41999999999999993
double_ss,kosarak,non-interleaved,6.0,50000,1,0.0010924373293621247,36.150401633947794,110076.0,1200.0,0.61
double_ss,kosarak,non-interleaved,6.0,100000,1,0.001087488878801634,66.26086328820396,140768.0,1200.0,0.7
double_ss,kosarak,non-interleaved,6.0,200000,1,0.001107060513743682,122.28413657773035,140500.0,1200.0,0.69
