family,alpha,final_f1_star,count_min,count_sketch,double_mg,double_ss,integrated_sspm
kosarak,1.5,50000,0.001693511045291,1.387140565222757e-06,9.782302850796003e-05,0.005202009132420001,0.00017766506232200002
kosarak,1.5,100000,0.0016966522817000002,2.527775227251859e-06,7.317234413736111e-05,0.005246763382609001,0.00014019190157
kosarak,1.5,200000,0.0016900788525590002,4.099313438923255e-06,5.372442390048265e-05,0.0052162667391740004,0.000100146489021
kosarak,1.5,500000,0.0016960531705390001,5.330641985033478e-06,3.888243402914533e-05,0.005227113135092,7.343274911382434e-05
kosarak,2.0,50000,0.001688951563458,1.7069282648681789e-06,9.49209074187615e-05,0.0037849147762100003,0.000195847946045
kosarak,2.0,100000,0.001691671735241,3.039355992844365e-06,6.94293381037567e-05,0.0038204221824680003,0.00014140787119800002
kosarak,2.0,200000,0.0016905286554500002,4.058952263712215e-06,5.277116673505676e-05,0.003807206264532,0.00011065654493200002
kosarak,2.0,500000,0.001699509627727,5.486916164708206e-06,3.8081564135479416e-05,0.00381990471018,7.924567986570554e-05
kosarak,3.0,50000,0.0016828030868800002,1.7500622354991278e-06,9.312920089619118e-05,0.002406806074184,0.00021655215334800003
kosarak,3.0,100000,0.0016791269192330002,3.2942672844553457e-06,6.774870536931044e-05,0.002422227673298,0.000164779685654
kosarak,3.0,200000,0.0016776413222,4.259170544757733e-06,5.075999178757187e-05,0.002424193471119,0.00012338283602500002
kosarak,3.0,500000,0.001701653324154,5.593332022029897e-06,3.65926435877262e-05,0.0024453872934690002,9.205753343823761e-05
kosarak,4.0,50000,0.0016816628987690002,1.9291635267520722e-06,9.076111529766392e-05,0.001728718914845,0.000265948254207
kosarak,4.0,100000,0.001670712981559,3.2536059886799334e-06,6.597316048931898e-05,0.001743972977907,0.00018787931349200003
kosarak,4.0,200000,0.00167710705762,4.461302420729628e-06,4.9060688714626664e-05,0.001750935901807,0.000138660415956
kosarak,4.0,500000,0.001695766259557,5.993446529639559e-06,3.5830801310694076e-05,0.0017701381193520002,0.00010216492900400001
kosarak,6.0,50000,0.0016713973690740001,2.310747083643584e-06,8.656242243732937e-05,0.001092437329362,0.000291511541325
kosarak,6.0,100000,0.001681425329096,3.52156150703586e-06,6.247843849296414e-05,0.001087488878801,0.00021397185655900003
kosarak,6.0,200000,0.0016865045350680002,4.677352350619678e-06,4.7878210898012885e-05,0.0011070605137430002,0.000166151769023
kosarak,6.0,500000,0.001705623782826,6.395396872233697e-06,3.412117635487361e-05,0.001123854332644,0.00012107189928100001
kosarak,8.0,50000,0.001636052231237,2.1805273833671397e-06,8.379310344827588e-05,0.0007556186612570001,0.000321990365111
kosarak,8.0,100000,0.001666815979522,3.6767529024590916e-06,6.02331108876497e-05,0.00076957491544,0.00025131821921500004
kosarak,8.0,200000,0.0016986594798080001,4.725530458590007e-06,4.58305954825462e-05,0.0007940913757700001,0.000193388774811
kosarak,8.0,500000,0.0017151066895360002,6.569664297966185e-06,3.295917667238422e-05,0.0008090138691490001,0.00014359705954400002
uniform,1.5,50000,0.003343845570388,2.220266990291262e-05,2.523867313915857e-05,0.0066347517192550005,5.341879045307444e-05
uniform,1.5,100000,0.003428920858749,1.8392299770260633e-05,1.583696427156777e-05,0.006654153212390001,3.303842192822625e-05
uniform,1.5,200000,0.0035026018049870004,1.5201818854145e-05,1.155007048926483e-05,0.006653447271718,2.5379313134114492e-05
uniform,1.5,500000,0.0035577925474090002,1.2634617707452593e-05,1.0063634899545032e-05,0.006655935378668001,2.261368120143334e-05
