algorithm,alpha,avg_abs_error,avg_norm_abs_error,avg_relative_error,dataset_name,deletions,domain_size,estimator_seed,family,final_f1_star,heavy_avg_norm_abs_error,heavy_avg_relative_error,heavy_query_count,hh_f1,hh_precision,hh_recall,insertions,logical_size,max_norm_abs_error,memory_usage_bytes,middle_avg_norm_abs_error,middle_avg_relative_error,middle_query_count,observed_final_f1,param_capacity_per_summary,seed,stream_length,stream_mode,support_size,tail_avg_norm_abs_error,tail_avg_relative_error,tail_query_count,validation,param_depth,param_seed,param_width,param_capacity,zipf_s,average_transaction_size,distinct_items,occurrence_count,source_path,transaction_count
double_mg,3.0,1.5813272093759898,1.58132720937599e-05,0.9982776369971492,uniform__F1_100000__alpha_3p0__non_interleaved,100000,100000,20260419,uniform,100000,5.9300000000000005e-05,1.0,100,0.0,0.0,0.0,200000,598,7e-05,23580,1.24e-05,1.0,100,100000,299,20260419,300000,non-interleaved,63140,9.9e-06,0.99,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 100000, 'total_insertions': 200000}",,,,,,,,,,
double_ss,3.0,331.41770668356037,0.003314177066835603,254.21945114409402,uniform__F1_100000__alpha_3p0__non_interleaved,100000,100000,20260420,uniform,100000,0.0032706999999999996,55.68928571428572,100,0.0,0.0,0.0,200000,600,0.00333,71964,0.0033176,292.04,100,100000,300,20260419,300000,non-interleaved,63140,0.0033201000000000003,332.01,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 100000, 'total_insertions': 200000}",,,,,,,,,,
count_min,3.0,343.6413208742477,0.003436413208742477,263.3898618338688,uniform__F1_100000__alpha_3p0__non_interleaved,100000,100000,20260421,uniform,100000,0.0034139,58.09876190476191,100,0.0,0.0,0.0,200000,1360,0.00396,53068,0.0034164,301.2,100,100000,,20260419,300000,non-interleaved,63140,0.0034279,342.79,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 100000, 'total_insertions': 200000}",5,20260421,272,,,,,,,
count_sketch,3.0,1.8336078555590751,1.8336078555590752e-05,1.4054682338567357,uniform__F1_100000__alpha_3p0__non_interleaved,100000,100000,20260422,uniform,100000,1.99e-05,0.34014285714285714,100,0.09,0.09,0.09,200000,50000,0.00011,642256,1.77e-05,1.545,100,100000,,20260419,300000,non-interleaved,63140,1.69e-05,1.69,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 100000, 'total_insertions': 200000}",5,20260422,10000,,,,,,,
integrated_sspm,3.0,4.042318656952803,4.042318656952803e-05,2.7308626333016575,uniform__F1_100000__alpha_3p0__non_interleaved,100000,100000,20260423,uniform,100000,5.9300000000000005e-05,1.0,100,0.0,0.0,0.0,200000,200,0.00999,40174,1.24e-05,1.0,100,100000,,20260419,300000,non-interleaved,63140,0.00010969999999999998,10.97,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 100000, 'total_insertions': 200000}",,,,200,,,,,,
double_mg,4.0,1.5779092702169626,1.5779092702169626e-05,1.0,uniform__F1_100000__alpha_4p0__non_interleaved,150000,100000,20260419,uniform,100000,5.5599999999999996e-05,1.0,100,0.01,0.01,0.01,250000,798,9e-05,38144,1.2300000000000003e-05,1.0,100,100000,399,20260419,400000,non-interleaved,63375,1e-05,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 150000, 'total_insertions': 250000}",,,,,,,,,,
double_ss,4.0,248.42209072978304,0.0024842209072978303,191.24489214489213,uniform__F1_100000__alpha_4p0__non_interleaved,150000,100000,20260420,uniform,100000,0.0024444,44.49206349206349,100,0.01,0.01,0.01,250000,800,0.00249,120004,0.0024877,220.25,100,100000,400,20260419,400000,non-interleaved,63375,0.00249,249.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 150000, 'total_insertions': 250000}",,,,,,,,,,
count_min,4.0,344.2873846153846,0.003442873846153846,264.7457600576062,uniform__F1_100000__alpha_4p0__non_interleaved,150000,100000,20260421,uniform,100000,0.0034303,62.47026984126984,100,0.01,0.01,0.01,250000,1360,0.00388,53044,0.0034693000000000002,307.635,100,100000,,20260419,400000,non-interleaved,63375,0.0034452,344.52,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 150000, 'total_insertions': 250000}",5,20260421,272,,,,,,,
count_sketch,4.0,1.8301538461538462,1.8301538461538463e-05,1.4046805923421308,uniform__F1_100000__alpha_4p0__non_interleaved,150000,100000,20260422,uniform,100000,1.86e-05,0.3354920634920635,100,0.04,0.04,0.04,250000,50000,0.00012,642960,1.74e-05,1.53,100,100000,,20260419,400000,non-interleaved,63375,1.93e-05,1.93,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 150000, 'total_insertions': 250000}",5,20260422,10000,,,,,,,
integrated_sspm,4.0,4.716244575936884,4.716244575936884e-05,3.258819723865878,uniform__F1_100000__alpha_4p0__non_interleaved,150000,100000,20260423,uniform,100000,0.00015429999999999998,2.645,100,0.01,0.01,0.01,250000,250,0.00999,45394,0.00011180000000000001,10.95,100,100000,,20260419,400000,non-interleaved,63375,0.00010969999999999998,10.97,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 150000, 'total_insertions': 250000}",,,,250,,,,,,
