algorithm,alpha,avg_abs_error,avg_norm_abs_error,avg_relative_error,dataset_name,deletions,domain_size,estimator_seed,family,final_f1_star,heavy_avg_norm_abs_error,heavy_avg_relative_error,heavy_query_count,hh_f1,hh_precision,hh_recall,insertions,logical_size,max_norm_abs_error,memory_usage_bytes,middle_avg_norm_abs_error,middle_avg_relative_error,middle_query_count,observed_final_f1,param_capacity_per_summary,seed,stream_length,stream_mode,support_size,tail_avg_norm_abs_error,tail_avg_relative_error,tail_query_count,validation,param_depth,param_seed,param_width,param_capacity,zipf_s,average_transaction_size,distinct_items,occurrence_count,source_path,transaction_count
double_mg,1.5,1.2619336569579287,2.5238673139158578e-05,0.9981922532362459,uniform__F1_50000__alpha_1p5__non_interleaved,12500,100000,20260419,uniform,50000,8.440000000000002e-05,0.9975,100,0.01,0.01,0.01,62500,298,0.00012,11876,1.98e-05,0.99,100,50000,149,20260419,75000,non-interleaved,39552,2e-05,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 50000, 'strict_turnstile_ok': True, 'total_deletions': 12500, 'total_insertions': 62500}",,,,,,,,,,
double_ss,1.5,331.73758596278316,0.006634751719255664,292.6730679443096,uniform__F1_50000__alpha_1p5__non_interleaved,12500,100000,20260420,uniform,50000,0.0065756,78.4785,100,0.01,0.01,0.01,62500,300,0.00666,32188,0.006640200000000001,332.01,100,50000,150,20260419,75000,non-interleaved,39552,0.00664,332.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 50000, 'strict_turnstile_ok': True, 'total_deletions': 12500, 'total_insertions': 62500}",,,,,,,,,,
count_min,1.5,167.19227851941747,0.003343845570388349,147.4292854975728,uniform__F1_50000__alpha_1p5__non_interleaved,12500,100000,20260421,uniform,50000,0.003326,39.68683333333333,100,0.0,0.0,0.0,62500,1360,0.00398,16964,0.0033566,167.83,100,50000,,20260419,75000,non-interleaved,39552,0.0033076,165.38,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 50000, 'strict_turnstile_ok': True, 'total_deletions': 12500, 'total_insertions': 62500}",5,20260421,272,,,,,,,
count_sketch,1.5,1.110133495145631,2.2202669902912624e-05,0.9780487290992449,uniform__F1_50000__alpha_1p5__non_interleaved,12500,100000,20260422,uniform,50000,2.36e-05,0.2845,100,0.17,0.17,0.17,62500,50000,0.00016,498864,2.18e-05,1.09,100,50000,,20260419,75000,non-interleaved,39552,2.22e-05,1.11,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 50000, 'strict_turnstile_ok': True, 'total_deletions': 12500, 'total_insertions': 62500}",5,20260422,10000,,,,,,,
integrated_sspm,1.5,2.670939522653722,5.341879045307444e-05,2.136807241100324,uniform__F1_50000__alpha_1p5__non_interleaved,12500,100000,20260423,uniform,50000,0.0002814,3.46,100,0.02,0.02,0.02,62500,125,0.00998,22954,0.00011960000000000001,5.98,100,50000,,20260419,75000,non-interleaved,39552,2e-05,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 50000, 'strict_turnstile_ok': True, 'total_deletions': 12500, 'total_insertions': 62500}",,,,125,,,,,,
double_mg,2.0,1.2651030561478323,2.5302061122956647e-05,0.9968080515788404,uniform__F1_50000__alpha_2p0__non_interleaved,25000,100000,20260419,uniform,50000,8.42e-05,0.9975,100,0.01,0.01,0.01,75000,398,0.00012,24924,2e-05,1.0,100,50000,199,20260419,100000,non-interleaved,39396,1.9600000000000002e-05,0.98,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 50000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 75000}",,,,,,,,,,
double_ss,2.0,247.73489694385216,0.004954697938877043,218.1518656716418,uniform__F1_50000__alpha_2p0__non_interleaved,25000,100000,20260420,uniform,50000,0.0048958,58.5965,100,0.01,0.01,0.01,75000,400,0.00498,54768,0.00496,248.0,100,50000,200,20260419,100000,non-interleaved,39396,0.0049604,248.02,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 50000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 75000}",,,,,,,,,,
count_min,2.0,167.3862828713575,0.00334772565742715,147.31195552848004,uniform__F1_50000__alpha_2p0__non_interleaved,25000,100000,20260421,uniform,50000,0.0033648,40.294666666666664,100,0.02,0.02,0.02,75000,1360,0.0041,16928,0.003291,164.55,100,50000,,20260419,100000,non-interleaved,39396,0.0033292,166.46,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 50000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 75000}",5,20260421,272,,,,,,,
count_sketch,2.0,1.1192506853487665,2.238501370697533e-05,0.9853690730023352,uniform__F1_50000__alpha_2p0__non_interleaved,25000,100000,20260422,uniform,50000,2.6200000000000003e-05,0.31516666666666665,100,0.18,0.18,0.18,75000,50000,0.00014,499164,2.5200000000000003e-05,1.26,100,50000,,20260419,100000,non-interleaved,39396,2.2400000000000002e-05,1.12,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 50000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 75000}",5,20260422,10000,,,,,,,
integrated_sspm,2.0,2.7818560259924867,5.5637120519849725e-05,2.233287220360781,uniform__F1_50000__alpha_2p0__non_interleaved,25000,100000,20260423,uniform,50000,0.00018260000000000002,2.2275,100,0.01,0.01,0.01,75000,150,0.00998,25574,2e-05,1.0,100,50000,,20260419,100000,non-interleaved,39396,0.0002192,10.96,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 50000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 75000}",,,,150,,,,,,
double_mg,3.0,1.2708460598656077,2.5416921197312156e-05,0.9985428120545714,uniform__F1_50000__alpha_3p0__non_interleaved,50000,100000,20260419,uniform,50000,8.440000000000002e-05,0.9975,100,0.01,0.01,0.01,100000,598,0.00012,23100,2e-05,1.0,100,50000,299,20260419,150000,non-interleaved,39288,1.98e-05,0.99,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 50000, 'strict_turnstile_ok': True, 'total_deletions': 50000, 'total_insertions': 100000}",,,,,,,,,,
double_ss,3.0,165.72716860109958,0.0033145433720219914,145.62459699314465,uniform__F1_50000__alpha_3p0__non_interleaved,50000,100000,20260420,uniform,50000,0.0032555999999999996,38.943333333333335,100,0.01,0.01,0.01,100000,600,0.00334,63188,0.00332,166.0,100,50000,300,20260419,150000,non-interleaved,39288,0.0033201999999999997,166.01,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 50000, 'strict_turnstile_ok': True, 'total_deletions': 50000, 'total_insertions': 100000}",,,,,,,,,,
count_min,3.0,167.32350845041742,0.003346470169008349,146.91079422045746,uniform__F1_50000__alpha_3p0__non_interleaved,50000,100000,20260421,uniform,50000,0.0033483999999999996,40.0345,100,0.01,0.01,0.01,100000,1360,0.00406,16920,0.0033616,168.08,100,50000,,20260419,150000,non-interleaved,39288,0.0033296,166.48,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 50000, 'strict_turnstile_ok': True, 'total_deletions': 50000, 'total_insertions': 100000}",5,20260421,272,,,,,,,
count_sketch,3.0,1.119654856444716,2.239309712889432e-05,0.9812389703386953,uniform__F1_50000__alpha_3p0__non_interleaved,50000,100000,20260422,uniform,50000,2.4e-05,0.2875,100,0.15,0.15,0.15,100000,50000,0.00012,500360,2.3e-05,1.15,100,50000,,20260419,150000,non-interleaved,39288,2.3e-05,1.15,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 50000, 'strict_turnstile_ok': True, 'total_deletions': 50000, 'total_insertions': 100000}",5,20260422,10000,,,,,,,
integrated_sspm,3.0,3.041539401343922,6.083078802687844e-05,2.4719761759315824,uniform__F1_50000__alpha_3p0__non_interleaved,50000,100000,20260423,uniform,50000,0.000183,2.23,100,0.01,0.01,0.01,100000,200,0.00998,40002,2e-05,1.0,100,50000,,20260419,150000,non-interleaved,39288,0.00011940000000000002,5.97,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 50000, 'strict_turnstile_ok': True, 'total_deletions': 50000, 'total_insertions': 100000}",,,,200,,,,,,
double_mg,4.0,1.2724234693877552,2.5448469387755102e-05,0.9972950680272109,uniform__F1_50000__alpha_4p0__non_interleaved,75000,100000,20260419,uniform,50000,8.38e-05,0.9954999999999999,100,0.02,0.02,0.02,125000,798,0.00012,48924,2e-05,1.0,100,50000,399,20260419,200000,non-interleaved,39200,2e-05,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 50000, 'strict_turnstile_ok': True, 'total_deletions': 75000, 'total_insertions': 125000}",,,,,,,,,,
double_ss,4.0,123.72548469387755,0.002474509693877551,108.6631768707483,uniform__F1_50000__alpha_4p0__non_interleaved,75000,100000,20260420,uniform,50000,0.0024162,28.962833333333332,100,0.02,0.02,0.02,125000,800,0.0025,108460,0.00248,124.0,100,50000,400,20260419,200000,non-interleaved,39200,0.00248,124.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 50000, 'strict_turnstile_ok': True, 'total_deletions': 75000, 'total_insertions': 125000}",,,,,,,,,,
count_min,4.0,166.89948979591836,0.003337989795918367,146.40539328231293,uniform__F1_50000__alpha_4p0__non_interleaved,75000,100000,20260421,uniform,50000,0.0033234000000000002,39.81333333333333,100,0.02,0.02,0.02,125000,1360,0.00404,16940,0.0033204,166.02,100,50000,,20260419,200000,non-interleaved,39200,0.0033564,167.82,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 50000, 'strict_turnstile_ok': True, 'total_deletions': 75000, 'total_insertions': 125000}",5,20260421,272,,,,,,,
count_sketch,4.0,1.1238520408163266,2.2477040816326534e-05,0.9873928571428572,uniform__F1_50000__alpha_4p0__non_interleaved,75000,100000,20260422,uniform,50000,2.3e-05,0.2755,100,0.15,0.15,0.15,125000,50000,0.00014,499680,1.94e-05,0.97,100,50000,,20260419,200000,non-interleaved,39200,2.34e-05,1.17,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 50000, 'strict_turnstile_ok': True, 'total_deletions': 75000, 'total_insertions': 125000}",5,20260422,10000,,,,,,,
integrated_sspm,4.0,3.199030612244898,6.398061224489796e-05,2.669058673469388,uniform__F1_50000__alpha_4p0__non_interleaved,75000,100000,20260423,uniform,50000,0.00037860000000000004,4.436,100,0.02,0.02,0.02,125000,250,0.00998,45222,2e-05,1.0,100,50000,,20260419,200000,non-interleaved,39200,2e-05,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 50000, 'strict_turnstile_ok': True, 'total_deletions': 75000, 'total_insertions': 125000}",,,,250,,,,,,
double_mg,6.0,1.2650991357397052,2.5301982714794103e-05,0.9951766649720386,uniform__F1_50000__alpha_6p0__non_interleaved,125000,100000,20260419,uniform,50000,8.320000000000002e-05,0.995,100,0.01,0.01,0.01,175000,1198,0.0001,45252,2e-05,1.0,100,50000,599,20260419,300000,non-interleaved,39340,2e-05,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 50000, 'strict_turnstile_ok': True, 'total_deletions': 125000, 'total_insertions': 175000}",,,,,,,,,,
double_ss,6.0,81.73289273004575,0.001634657854600915,71.9460697339434,uniform__F1_50000__alpha_6p0__non_interleaved,125000,100000,20260420,uniform,50000,0.0015768000000000002,19.008,100,0.01,0.01,0.01,175000,1200,0.00166,125280,0.00164,82.0,100,50000,600,20260419,300000,non-interleaved,39340,0.0016397999999999999,81.99,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 50000, 'strict_turnstile_ok': True, 'total_deletions': 125000, 'total_insertions': 175000}",,,,,,,,,,
count_min,6.0,167.47086934417896,0.003349417386883579,147.1887620742247,uniform__F1_50000__alpha_6p0__non_interleaved,125000,100000,20260421,uniform,50000,0.003368,40.551500000000004,100,0.01,0.01,0.01,175000,1360,0.00398,16960,0.0033366000000000003,166.83,100,50000,,20260419,300000,non-interleaved,39340,0.0033314,166.57,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 50000, 'strict_turnstile_ok': True, 'total_deletions': 125000, 'total_insertions': 175000}",5,20260421,272,,,,,,,
count_sketch,6.0,1.1183019827147942,2.2366039654295885e-05,0.9832185222843586,uniform__F1_50000__alpha_6p0__non_interleaved,125000,100000,20260422,uniform,50000,2.2600000000000004e-05,0.27149999999999996,100,0.16,0.16,0.16,175000,50000,0.00012,499084,2.3800000000000003e-05,1.19,100,50000,,20260419,300000,non-interleaved,39340,2.3e-05,1.15,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 50000, 'strict_turnstile_ok': True, 'total_deletions': 125000, 'total_insertions': 175000}",5,20260422,10000,,,,,,,
integrated_sspm,6.0,3.8145399084900866,7.629079816980173e-05,3.0960049144212842,uniform__F1_50000__alpha_6p0__non_interleaved,125000,100000,20260423,uniform,50000,0.00018180000000000003,2.2275,100,0.01,0.01,0.01,175000,350,0.00998,74138,2e-05,1.0,100,50000,,20260419,300000,non-interleaved,39340,2e-05,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 50000, 'strict_turnstile_ok': True, 'total_deletions': 125000, 'total_insertions': 175000}",,,,350,,,,,,
double_mg,8.0,1.2650361170954252,2.5300722341908505e-05,0.9980547459130655,uniform__F1_50000__alpha_8p0__non_interleaved,175000,100000,20260419,uniform,50000,8.38e-05,1.0,100,0.0,0.0,0.0,225000,1598,0.00014,96960,1.98e-05,0.99,100,50000,799,20260419,400000,non-interleaved,39455,2e-05,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 50000, 'strict_turnstile_ok': True, 'total_deletions': 175000, 'total_insertions': 225000}",,,,,,,,,,
double_ss,8.0,61.72875427702446,0.0012345750855404893,54.44019093482026,uniform__F1_50000__alpha_8p0__non_interleaved,175000,100000,20260420,uniform,50000,0.0011760000000000002,14.1765,100,0.0,0.0,0.0,225000,1600,0.00126,215784,0.0012402000000000001,62.01,100,50000,800,20260419,400000,non-interleaved,39455,0.0012396,61.98,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 50000, 'strict_turnstile_ok': True, 'total_deletions': 175000, 'total_insertions': 225000}",,,,,,,,,,
count_min,8.0,167.18910150804714,0.003343782030160943,147.14133732824013,uniform__F1_50000__alpha_8p0__non_interleaved,175000,100000,20260421,uniform,50000,0.0033292,40.12714285714286,100,0.01,0.01,0.01,225000,1360,0.004,16812,0.0033272,166.36,100,50000,,20260419,400000,non-interleaved,39455,0.0033238,166.19,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 50000, 'strict_turnstile_ok': True, 'total_deletions': 175000, 'total_insertions': 225000}",5,20260421,272,,,,,,,
count_sketch,8.0,1.114662273476112,2.229324546952224e-05,0.9811663076078232,uniform__F1_50000__alpha_8p0__non_interleaved,175000,100000,20260422,uniform,50000,2.3e-05,0.2775,100,0.14,0.14,0.14,225000,50000,0.00012,497452,2.2000000000000003e-05,1.1,100,50000,,20260419,400000,non-interleaved,39455,2.02e-05,1.01,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 50000, 'strict_turnstile_ok': True, 'total_deletions': 175000, 'total_insertions': 225000}",5,20260422,10000,,,,,,,
integrated_sspm,8.0,3.7641363578760614,7.528272715752124e-05,3.1144911924977823,uniform__F1_50000__alpha_8p0__non_interleaved,175000,100000,20260423,uniform,50000,8.38e-05,1.0,100,0.0,0.0,0.0,225000,450,0.00998,84502,0.0002184,10.92,100,50000,,20260419,400000,non-interleaved,39455,2e-05,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 50000, 'strict_turnstile_ok': True, 'total_deletions': 175000, 'total_insertions': 225000}",,,,450,,,,,,
double_mg,1.5,4.3945710990863125,4.394571099086312e-05,0.9971845092252969,zipf__F1_100000__alpha_1p5__non_interleaved__s_1p2,25000,100000,20260419,zipf,100000,0.0020229,0.8361623353011137,100,0.49,0.49,0.49,125000,298,0.00338,17052,9.9e-06,0.99,100,100000,149,20260419,150000,non-interleaved,11273,1e-05,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 125000}",,,,,1.2,,,,,
double_ss,1.5,326.5985097134747,0.0032659850971347468,260.45079820397626,zipf__F1_100000__alpha_1p5__non_interleaved__s_1p2,25000,100000,20260420,zipf,100000,0.0012843,1.129005436067879,100,0.49,0.49,0.49,125000,300,0.00331,31496,0.0033001000000000003,330.01,100,100000,150,20260419,150000,non-interleaved,11273,0.0033,330.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 125000}",,,,,1.2,,,,,
count_min,1.5,84.45001330612969,0.0008445001330612969,67.05000310367662,zipf__F1_100000__alpha_1p5__non_interleaved__s_1p2,25000,100000,20260421,zipf,100000,0.0008064000000000001,0.49260155686747675,100,0.87,0.87,0.87,125000,1360,0.00264,28152,0.0008565000000000001,85.65,100,100000,,20260419,150000,non-interleaved,11273,0.0008709,87.09,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 125000}",5,20260421,272,,1.2,,,,,
count_sketch,1.5,0.368402377361838,3.6840237736183806e-06,0.3160843372727301,zipf__F1_100000__alpha_1p5__non_interleaved__s_1p2,25000,100000,20260422,zipf,100000,2.4000000000000003e-06,0.0009764854979051002,100,1.0,1.0,1.0,125000,50000,0.00028,508288,3.2000000000000003e-06,0.32,100,100000,,20260419,150000,non-interleaved,11273,3.6000000000000003e-06,0.36,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 125000}",5,20260422,10000,,1.2,,,,,
integrated_sspm,1.5,6.528342056240575,6.528342056240575e-05,1.7108448521812083,zipf__F1_100000__alpha_1p5__non_interleaved__s_1p2,25000,100000,20260423,zipf,100000,0.0015152,1.1125066881529777,100,0.4000000000000001,0.4,0.4,125000,125,0.00519,23838,6.180000000000001e-05,6.18,100,100000,,20260419,150000,non-interleaved,11273,1e-05,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 125000}",,,,125,1.2,,,,,
double_mg,2.0,4.068431303116148,4.0684313031161476e-05,0.9969002037962496,zipf__F1_100000__alpha_2p0__non_interleaved__s_1p2,50000,100000,20260419,zipf,100000,0.0016877,0.7777835705058875,100,0.58,0.58,0.58,150000,398,0.00237,29020,1e-05,1.0,100,100000,199,20260419,200000,non-interleaved,11296,1e-05,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 50000, 'total_insertions': 150000}",,,,,1.2,,,,,
double_ss,2.0,225.93236543909347,0.002259323654390935,180.92541901407765,zipf__F1_100000__alpha_2p0__non_interleaved__s_1p2,50000,100000,20260420,zipf,100000,0.0006146,0.5809019626478542,100,0.58,0.58,0.58,150000,400,0.0023,53880,0.00229,229.0,100,100000,200,20260419,200000,non-interleaved,11296,0.00229,229.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 50000, 'total_insertions': 150000}",,,,,1.2,,,,,
count_min,2.0,84.02044971671388,0.0008402044971671388,66.83281491307886,zipf__F1_100000__alpha_2p0__non_interleaved__s_1p2,50000,100000,20260421,zipf,100000,0.0008129,0.493224208290603,100,0.83,0.83,0.83,150000,1360,0.00285,28012,0.0008265999999999999,82.66,100,100000,,20260419,200000,non-interleaved,11296,0.0008545,85.45,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 50000, 'total_insertions': 150000}",5,20260421,272,,1.2,,,,,
count_sketch,2.0,0.3670325779036827,3.6703257790368276e-06,0.3158164732843167,zipf__F1_100000__alpha_2p0__non_interleaved__s_1p2,50000,100000,20260422,zipf,100000,2.7e-06,0.0017705913910458604,100,1.0,1.0,1.0,150000,50000,0.0001,507476,3.8e-06,0.38,100,100000,,20260419,200000,non-interleaved,11296,4.5e-06,0.45,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 50000, 'total_insertions': 150000}",5,20260422,10000,,1.2,,,,,
integrated_sspm,2.0,6.937234419263456,6.937234419263457e-05,2.336113241945825,zipf__F1_100000__alpha_2p0__non_interleaved__s_1p2,50000,100000,20260423,zipf,100000,0.0013017999999999999,1.006868652089699,100,0.25,0.25,0.25,150000,150,0.00496,26774,1e-05,1.0,100,100000,,20260419,200000,non-interleaved,11296,5.940000000000001e-05,5.94,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 50000, 'total_insertions': 150000}",,,,150,1.2,,,,,
double_mg,3.0,3.677040049509327,3.6770400495093275e-05,0.9953295802889804,zipf__F1_100000__alpha_3p0__non_interleaved__s_1p2,100000,100000,20260419,zipf,100000,0.0012450999999999999,0.6633284590532851,100,0.7,0.7,0.7,200000,598,0.00145,27564,1e-05,1.0,100,100000,299,20260419,300000,non-interleaved,11311,1e-05,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 100000, 'total_insertions': 200000}",,,,,1.2,,,,,
double_ss,3.0,135.31809742728316,0.0013531809742728317,109.11763574189119,zipf__F1_100000__alpha_3p0__non_interleaved__s_1p2,100000,100000,20260420,zipf,100000,0.0001451,0.1552790604341242,100,0.7,0.7,0.7,200000,600,0.00139,61888,0.00138,138.0,100,100000,300,20260419,300000,non-interleaved,11311,0.00138,138.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 100000, 'total_insertions': 200000}",,,,,1.2,,,,,
count_min,3.0,84.17248695959685,0.0008417248695959684,67.0369845504787,zipf__F1_100000__alpha_3p0__non_interleaved__s_1p2,100000,100000,20260421,zipf,100000,0.0007947,0.4792548483062455,100,0.83,0.83,0.83,200000,1360,0.00651,27872,0.0008716,87.16,100,100000,,20260419,300000,non-interleaved,11311,0.0008487,84.87,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 100000, 'total_insertions': 200000}",5,20260421,272,,1.2,,,,,
count_sketch,3.0,0.36177172663778623,3.6177172663778625e-06,0.31232394827941434,zipf__F1_100000__alpha_3p0__non_interleaved__s_1p2,100000,100000,20260422,zipf,100000,2.5e-06,0.0015239778595888655,100,0.99,0.99,0.99,200000,50000,0.00031,506272,4.9e-06,0.49,100,100000,,20260419,300000,non-interleaved,11311,3.8e-06,0.38,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 100000, 'total_insertions': 200000}",5,20260422,10000,,1.2,,,,,
integrated_sspm,3.0,7.618689771019362,7.618689771019362e-05,2.6294541639508338,zipf__F1_100000__alpha_3p0__non_interleaved__s_1p2,100000,100000,20260423,zipf,100000,0.0008581,0.7512663643277633,100,0.23,0.23,0.23,200000,200,0.00462,41574,1e-05,1.0,100,100000,,20260419,300000,non-interleaved,11311,1e-05,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 100000, 'total_insertions': 200000}",,,,200,1.2,,,,,
double_mg,4.0,3.406461836429263,3.406461836429263e-05,0.9944676765423109,zipf__F1_100000__alpha_4p0__non_interleaved__s_1p2,150000,100000,20260419,zipf,100000,0.0009506,0.5502007520170629,100,0.85,0.85,0.85,250000,798,0.00102,37948,1e-05,1.0,100,100000,399,20260419,400000,non-interleaved,11359,1e-05,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 150000, 'total_insertions': 250000}",,,,,1.2,,,,,
double_ss,4.0,93.58781582885817,0.0009358781582885817,75.83088994403813,zipf__F1_100000__alpha_4p0__non_interleaved__s_1p2,150000,100000,20260420,zipf,100000,1.92e-05,0.02050983945557308,100,0.85,0.85,0.85,250000,800,0.00097,98124,0.00096,96.0,100,100000,400,20260419,400000,non-interleaved,11359,0.00096,96.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 150000, 'total_insertions': 250000}",,,,,1.2,,,,,
count_min,4.0,84.6937230389999,0.0008469372303899992,67.40535746250816,zipf__F1_100000__alpha_4p0__non_interleaved__s_1p2,150000,100000,20260421,zipf,100000,0.0008133999999999999,0.48852671860961927,100,0.82,0.82,0.82,250000,1360,0.00654,28068,0.0008265999999999999,82.66,100,100000,,20260419,400000,non-interleaved,11359,0.000844,84.4,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 150000, 'total_insertions': 250000}",5,20260421,272,,1.2,,,,,
