algorithm,algorithm_variant,alpha,avg_abs_error,avg_norm_abs_error,avg_relative_error,config_epsilon,dataset_name,deletions,domain_size,estimator_seed,family,final_f1_star,heavy_avg_norm_abs_error,heavy_avg_relative_error,heavy_query_count,hh_f1,hh_precision,hh_recall,insertions,logical_size,max_norm_abs_error,memory_usage_bytes,middle_avg_norm_abs_error,middle_avg_relative_error,middle_query_count,observed_final_f1,param_capacity_per_summary,seed,stream_length,stream_mode,support_size,tail_avg_norm_abs_error,tail_avg_relative_error,tail_query_count,validation,config_delta,param_depth,param_seed,param_width,param_capacity,zipf_s,average_transaction_size,distinct_items,occurrence_count,source_path,transaction_count
count_sketch,count_sketch__eps_0p05,1.5,7.54635189733027,7.54635189733027e-05,5.783408875710627,0.05,uniform__F1_100000__alpha_1p5__non_interleaved,25000,100000,20260429,uniform,100000,7.39e-05,1.2880119047619047,100,0.01,0.01,0.01,125000,2000,0.00046,40668,7.3e-05,6.62,100,100000,,20260419,150000,non-interleaved,63115,8.01e-05,8.01,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 125000}",0.01,5,20260429,400,,,,,,,
count_sketch,count_sketch__eps_0p10,1.5,16.90026142755288,0.00016900261427552882,12.973682657884511,0.1,uniform__F1_100000__alpha_1p5__non_interleaved,25000,100000,20260430,uniform,100000,0.00016219999999999999,2.884142857142857,100,0.0,0.0,0.0,125000,500,0.00085,15536,0.00016390000000000003,14.135,100,100000,,20260419,150000,non-interleaved,63115,0.0001518,15.18,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 125000}",0.01,5,20260430,100,,,,,,,
integrated_sspm,integrated_sspm__eps_0p01,1.5,3.3038421928226254,3.3038421928226255e-05,2.098999822697042,0.01,uniform__F1_100000__alpha_1p5__non_interleaved,25000,100000,20260431,uniform,100000,0.0003542,6.0332380952380955,100,0.03,0.03,0.03,125000,125,0.00999,23126,1.24e-05,1.0,100,100000,,20260419,150000,non-interleaved,63115,1e-05,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 125000}",,,,,125,,,,,,
integrated_sspm,integrated_sspm__eps_0p05,1.5,3.2467083894478335,3.246708389447833e-05,2.1017230452348885,0.05,uniform__F1_100000__alpha_1p5__non_interleaved,25000,100000,20260432,uniform,100000,5.79e-05,1.0,100,0.03,0.03,0.03,125000,25,0.04999,5678,1.24e-05,1.0,100,100000,,20260419,150000,non-interleaved,63115,1e-05,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 125000}",,,,,25,,,,,,
integrated_sspm,integrated_sspm__eps_0p10,1.5,3.259605482056563,3.259605482056563e-05,2.142200744672423,0.1,uniform__F1_100000__alpha_1p5__non_interleaved,25000,100000,20260433,uniform,100000,5.79e-05,1.0,100,0.03,0.03,0.03,125000,13,0.09614,3298,1.24e-05,1.0,100,100000,,20260419,150000,non-interleaved,63115,1e-05,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 25000, 'total_insertions': 125000}",,,,,13,,,,,,
double_mg,double_mg__eps_0p01,2.0,1.5802805306652312,1.5802805306652315e-05,0.9981239907545199,0.01,uniform__F1_100000__alpha_2p0__non_interleaved,50000,100000,20260419,uniform,100000,5.7400000000000006e-05,0.9963333333333334,100,0.02,0.02,0.02,150000,398,8e-05,25356,1.24e-05,1.0,100,100000,199,20260419,200000,non-interleaved,63166,9.9e-06,0.99,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 50000, 'total_insertions': 150000}",,,,,,,,,,,
double_mg,double_mg__eps_0p05,2.0,1.5831301649621632,1.583130164962163e-05,1.0,0.05,uniform__F1_100000__alpha_2p0__non_interleaved,50000,100000,20260420,uniform,100000,5.7600000000000004e-05,1.0,100,0.0,0.0,0.0,150000,78,8e-05,3416,1.24e-05,1.0,100,100000,39,20260419,200000,non-interleaved,63166,1e-05,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 50000, 'total_insertions': 150000}",,,,,,,,,,,
double_mg,double_mg__eps_0p10,2.0,1.5831301649621632,1.583130164962163e-05,1.0,0.1,uniform__F1_100000__alpha_2p0__non_interleaved,50000,100000,20260421,uniform,100000,5.7600000000000004e-05,1.0,100,0.0,0.0,0.0,150000,38,8e-05,2304,1.24e-05,1.0,100,100000,19,20260419,200000,non-interleaved,63166,1e-05,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 50000, 'total_insertions': 150000}",,,,,,,,,,,
double_ss,double_ss__eps_0p01,2.0,497.4197194693348,0.004974197194693347,381.91501559383215,0.01,uniform__F1_100000__alpha_2p0__non_interleaved,50000,100000,20260422,uniform,100000,0.0049326000000000005,86.61975000000001,100,0.02,0.02,0.02,150000,400,0.00499,55152,0.0049775999999999996,438.12,100,100000,200,20260419,200000,non-interleaved,63166,0.0049801,498.01,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 50000, 'total_insertions': 150000}",,,,,,,,,,,
double_ss,double_ss__eps_0p05,2.0,2498.4168698350377,0.024984168698350375,1917.402502928791,0.05,uniform__F1_100000__alpha_2p0__non_interleaved,50000,100000,20260423,uniform,100000,0.0249424,437.95833333333337,100,0.0,0.0,0.0,150000,80,0.02499,10268,0.0249876,2199.0,100,100000,40,20260419,200000,non-interleaved,63166,0.02499,2499.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 100000, 'strict_turnstile_ok': True, 'total_deletions': 50000, 'total_insertions': 150000}",,,,,,,,,,,
