algorithm_variant,algorithm,family,stream_mode,alpha,final_f1_star,num_runs,config_epsilon,config_delta,config_target_logical_size,avg_norm_abs_error,avg_relative_error,avg_memory_usage_bytes,avg_logical_size,avg_hh_f1
count_min__eps_0p01,count_min,uniform,non-interleaved,6.0,50000,1,0.01,0.01,,0.0033521337061515,147.29861337061516,16964.0,1360.0,0.02
count_min__eps_0p01,count_min,uniform,non-interleaved,6.0,100000,1,0.01,0.01,,0.0034503132853868647,265.03091739960036,52864.0,1360.0,0.02
count_min__eps_0p01,count_min,uniform,non-interleaved,6.0,200000,1,0.01,0.01,,0.0035146724931215466,404.92652019981824,52776.0,1360.0,0.02
count_min__eps_0p01,count_min,uniform,non-interleaved,6.0,500000,1,0.01,0.01,,0.0035600286620675763,458.23733717295926,52776.0,1360.0,0.0
count_min__eps_0p01,count_min,uniform,non-interleaved,8.0,50000,1,0.01,0.01,,0.003364551514383475,148.04346229278684,16880.0,1360.0,0.01
count_min__eps_0p01,count_min,uniform,non-interleaved,8.0,100000,1,0.01,0.01,,0.0034443493183184135,264.1589775077462,52840.0,1360.0,0.0
count_min__eps_0p01,count_min,uniform,non-interleaved,8.0,200000,1,0.01,0.01,,0.0035037240857007414,404.1887013626868,52776.0,1360.0,0.0
count_min__eps_0p01,count_min,uniform,non-interleaved,8.0,500000,1,0.01,0.01,,0.0035661115438416404,460.1006325037782,52776.0,1360.0,0.0
count_min__eps_0p01,count_min,zipf,non-interleaved,1.5,50000,1,0.01,0.01,,0.0009195957539624836,37.597916861356666,23292.0,1360.0,0.72
count_min__eps_0p01,count_min,zipf,non-interleaved,1.5,100000,1,0.01,0.01,,0.0009364827463851681,74.71485019393661,27688.0,1360.0,0.69
count_min__eps_0p01,count_min,zipf,non-interleaved,1.5,200000,1,0.01,0.01,,0.0009516985102730242,146.9557816275555,40036.0,1360.0,0.63
count_min__eps_0p01,count_min,zipf,non-interleaved,1.5,500000,1,0.01,0.01,,0.0009619514307228916,347.4355064390311,52776.0,1360.0,0.56
count_min__eps_0p01,count_min,zipf,non-interleaved,2.0,50000,1,0.01,0.01,,0.0009167987183221672,37.34149433198273,23432.0,1360.0,0.76
count_min__eps_0p01,count_min,zipf,non-interleaved,2.0,100000,1,0.01,0.01,,0.0009310269121813032,74.48776158800271,27464.0,1360.0,0.68
count_min__eps_0p01,count_min,zipf,non-interleaved,2.0,200000,1,0.01,0.01,,0.0009508916699256942,146.5519005012377,40260.0,1360.0,0.64
count_min__eps_0p01,count_min,zipf,non-interleaved,2.0,500000,1,0.01,0.01,,0.0009603085012594458,346.3842396033305,52776.0,1360.0,0.6
count_min__eps_0p01,count_min,zipf,non-interleaved,3.0,50000,1,0.01,0.01,,0.0009263952819332566,37.91963208574287,23208.0,1360.0,0.74
count_min__eps_0p01,count_min,zipf,non-interleaved,3.0,100000,1,0.01,0.01,,0.000930786844664486,74.53729137346257,27576.0,1360.0,0.7
count_min__eps_0p01,count_min,zipf,non-interleaved,3.0,200000,1,0.01,0.01,,0.0009535418050941307,147.72535851907102,40092.0,1360.0,0.64
count_min__eps_0p01,count_min,zipf,non-interleaved,3.0,500000,1,0.01,0.01,,0.0009612980860337313,345.5857251605205,52776.0,1360.0,0.58
count_min__eps_0p01,count_min,zipf,non-interleaved,4.0,50000,1,0.01,0.01,,0.0009174978204010461,37.3804179600838,23432.0,1360.0,0.72
count_min__eps_0p01,count_min,zipf,non-interleaved,4.0,100000,1,0.01,0.01,,0.0009368474337529712,75.06962530828228,27632.0,1360.0,0.69
count_min__eps_0p01,count_min,zipf,non-interleaved,4.0,200000,1,0.01,0.01,,0.0009441664802594789,145.6222465026308,39728.0,1360.0,0.65
count_min__eps_0p01,count_min,zipf,non-interleaved,4.0,500000,1,0.01,0.01,,0.0009569907079646018,344.914171349626,52776.0,1360.0,0.6
count_min__eps_0p01,count_min,zipf,non-interleaved,6.0,50000,1,0.01,0.01,,0.0009140583708436184,37.308404166059184,23432.0,1360.0,0.7699999999999999
count_min__eps_0p01,count_min,zipf,non-interleaved,6.0,100000,1,0.01,0.01,,0.0009418911756911933,75.55089464765288,27660.0,1360.0,0.65
count_min__eps_0p01,count_min,zipf,non-interleaved,6.0,200000,1,0.01,0.01,,0.0009493149807938539,146.484724510535,40596.0,1360.0,0.63
